Kabupaten/Kota,P1,DepRatio,UMK,Industri,TPT,RumahLayak,Sanitasi,UHH,AHH,RLS,HLS,long,lat,P1_encoded
Cilacap,1.59,44.88,2479106.0,6113.0,7.83,60.7,83.25,74.97,74.57,7.4,12.69,109.0,-7.73,1
Banyumas,2.09,45.75,2195690.0,11746.0,6.18,67.0,83.25,74.34,74.34,7.91,13.34,109.35,-7.61,1
Purbalingga,2.1,46.56,2195571.0,2465.0,4.96,63.31,82.01,74.19,73.56,7.36,12.03,109.35,-7.28,1
Banjarnegara,2.38,46.36,2038005.0,2443.0,5.57,42.77,52.4,74.7,74.66,6.87,11.83,109.8,-7.4,1
Kebumen,2.35,46.39,2121947.0,3368.0,5.07,74.13,93.43,75.22,73.96,7.87,13.39,109.5706,-7.6294,1
Purworejo,1.08,46.76,2127641.0,38431.0,3.89,72.17,84.64,75.64,75.51,8.65,13.55,110.02,-7.72,0
Wonosobo,2.41,45.19,2159175.0,20336.0,4.02,52.19,63.81,74.25,72.4,6.9,11.81,109.926669,-7.361389,1
Magelang,1.23,44.92,2316890.0,2011.0,3.55,69.31,83.77,74.68,74.45,7.83,12.62,110.2731,-7.6575,0
Boyolali,1.56,47.02,2250327.0,6181.0,3.16,72.51,88.26,76.44,76.44,8.17,12.67,110.6025,-7.5322,1
Klaten,1.46,44.67,2224012.0,1195.0,3.97,94.38,97.86,77.31,77.3,9.29,13.43,110.6167,-7.6833,0
Sukoharjo,1.21,43.15,2215482.0,11223.0,3.65,92.16,97.08,78.01,78.01,10.01,13.92,110.83333,-7.68333,0
Wonogiri,1.53,47.77,2047500.0,5780.0,2.4,89.08,96.25,76.82,76.84,7.68,12.61,111.0,-7.91667,1
Karanganyar,1.63,45.94,2288366.0,7348.0,3.47,94.06,98.54,77.91,77.91,9.26,13.73,110.9508,-7.5961,1
Sragen,2.42,46.14,2049000.0,13621.0,3.53,81.04,95.71,76.18,76.18,7.88,12.93,110.935,-7.41278,1
Grobogan,1.9,45.36,2116516.0,3391.0,3.23,56.8,93.94,75.25,75.24,7.29,12.48,110.9211,-7.03,1
Blora,1.59,42.38,2101813.0,2129.0,3.67,53.88,90.81,74.92,74.84,7.26,12.6,111.38333,-7.06667,1
Rembang,2.76,43.5,2099689.0,3401.0,2.84,75.99,94.89,74.98,74.97,7.73,12.3,111.35,-6.72,1
Pati,1.17,43.19,2190000.0,7121.0,3.87,82.88,96.33,76.56,76.56,7.82,12.98,111.1,-6.76667,0
Kudus,1.02,42.1,2516888.0,4914.0,3.19,91.6,95.9,77.07,77.08,9.35,13.28,110.8667,-6.8,0
Jepara,0.71,43.25,2450915.0,7216.0,3.34,55.53,68.05,76.21,76.21,8.27,12.86,110.6667,-6.5333,0
Demak,1.95,44.14,2761236.0,13274.0,4.75,80.32,95.13,75.79,75.79,8.28,13.36,110.67,-6.88,1
Semarang,0.91,43.64,2582287.0,5127.0,3.73,75.02,86.32,76.15,76.14,8.16,13.06,110.3358,-7.2656,0
Temanggung,0.97,45.23,2109690.0,3047.0,2.35,60.86,71.77,75.94,75.95,7.53,12.62,110.17,-7.3,0
Kendal,0.91,42.27,2613573.0,7388.0,5.01,69.11,83.05,74.73,74.73,7.74,13.0,110.1685,-7.0256,0
Batang,1.25,44.59,2379702.0,3022.0,5.67,55.87,65.92,75.01,75.03,7.08,12.17,109.730419,-6.908112,0
Pekalongan,1.16,45.41,2334886.0,1632.0,3.3,76.59,82.61,74.25,74.0,7.48,12.46,109.67,-6.8825,0
Pemalang,2.56,44.17,2156000.0,1539.0,6.63,67.83,84.32,74.23,73.99,6.56,12.02,109.4,-7.0333,1
Tegal,0.97,44.43,2191161.0,3102.0,7.53,78.83,87.09,74.25,72.16,7.36,12.96,109.15,-6.87,0
Brebes,2.5,43.75,2103100.0,7790.0,8.35,74.85,85.85,74.18,70.29,6.41,12.45,108.9,-7.05,1
Kota Magelang,0.92,41.69,2142000.0,4553.0,4.4,78.27,88.55,77.54,77.53,11.43,14.62,110.2178,-7.4706,0
Kota Surakarta,1.14,42.42,2269070.0,1091.0,4.61,73.15,85.07,77.91,77.9,11.25,15.07,110.816667,-7.566667,0
Kota Salatiga,0.61,43.16,2378951.0,1891.0,3.86,85.06,96.28,78.27,78.26,11.48,15.46,110.5022,-7.3389,0
Kota Semarang,0.59,40.66,3243969.0,5967.0,5.82,67.41,95.83,78.23,78.24,11.05,15.57,110.4225,-6.99,0
Kota Pekalongan,0.83,42.95,2389801.0,10323.0,4.91,82.05,89.38,74.79,74.8,9.34,12.89,109.6753,-6.8883,0
Kota Tegal,1.34,43.37,2231628.0,1904.0,5.88,85.89,92.48,75.01,74.87,9.28,13.25,109.1375,-6.8675,0
